source,reference,greedy,beam4,bleu_greedy,bleu_beam4,error_type
and forgive us our debts as we forgive our debtors,اور جس طرح ہم نے اپنے قرضداروں کو معاف کیا ہے تو بھی ہمارے قرض ہمیں معاف کر .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,1.3487504412867632,0.7669644897138996,Complete Hallucination
no man can serve two masters for either he will hate the one and love the other or else he will hold to the one and despise the other ye cannot serve god and mammon,کوئی آدمی دو مالکوں کی خدمت نہیں کرسکتا کیونکہ یا تو ایک سے عداوت رکھّیگا اور دوسرے سے محبّت . یا ایک سے ملا رہے گا اور دوسرے کو ناچیز جانیگا . تم خدا اور دولت دونوں کی خدمت نہیں کرسکتے .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,0.13522415971403215,0.02592894571718914,Severe Under-generation
for every one that asketh receiveth and he that seeketh findeth and to him that knocketh it shall be opened,کیونکہ جو کوئی مانگتا ہے اسے ملتا ہے اور جو ڈھونڈتا ہے وہ پاتا ہے اور جو کھٹکھٹاتا ہے اس کے واسطے کھولا جائے گا .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,0.6697696476251849,0.2821504678742899,Severe Under-generation
because strait is the gate and narrow is the way which leadeth unto life and few there be that find it,کیونکہ وہ دروازہ تنگ ہے اور وہ راستہ سکڑا ہے جو زندگی کو پہنچاتا ہے اور اس کے پانے والے تھوڑے ہیں .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,1.8457585237513994,0.4331187462778729,Complete Hallucination
wherefore by their fruits ye shall know them,پس ان کے پھلوں سے تم ان کو پہچان لوگے .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,2.5241181889490294,2.1731464395667697,Partial Match
and i say unto you that many shall come from the east and west and shall sit down with abraham and isaac and jacob in the kingdom of heaven,اور میں تم سے کہتا ہوں کہ بہترے پورب اور پچھّم سے آکر ابرہام اور اضحاق اور یعقوب کے ساتھ آسمان کی بادشاہی کی ضیافت میں شریک ہونگے .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,0.49617755862031065,0.16608551346329573,Severe Under-generation
and their eyes were opened and jesus straitly charged them saying see that no man know it,اور ان کی آنکھیں کھل گئیں اور یسوع نے ان کو تاکید کرکے کہا خبردار کوئی اس بات کو نہ جانے .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,0.9991789020577414,0.49963062433900984,Complete Hallucination
now the names of the twelve apostles are these the first simon who is called peter and andrew his brother james the son of zebedee and john his brother,اور بارہ رسولوں کے نام یہ ہیں . پہلا شمعون جو پطرس کہلاتا ہے اور اس کا بھائی اندریاس . زبدی کا بیٹا یعقوب اور اس کا بھائی یوحنّا .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,0.9691617123716866,0.17121711839686238,Severe Under-generation
these twelve jesus sent forth and commanded them saying go not into the way of the gentiles and into any city of the samaritans enter ye not,ان بارہ کو یسوع نے بھیجا اور ان کو حکم دے کر کہا . غیرقوموں کی طرف نہ جانا اور سامریوں کے کسی شہر میں داخل نہ ہونا .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,0.46174524702947806,0.16608551346329573,Severe Under-generation
and as ye go preach saying the kingdom of heaven is at hand,اور چلتے چلتے یہ منادی کرنا کہ آسمان کی بادشاہی نزدیک آگئی ہے .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,4.224791028499481,3.014373673614304,Complete Hallucination
and into whatsoever city or town ye shall enter enquire who in it is worthy and there abide till ye go thence,اور جس شہر یا گاوں میں داخل ہو دریافت کرنا کہ اس میں کون لائق ہے اور جب تک وہاں سے روانہ نہ ہو اسی کے ہاں رہنا .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,0.5246438920492126,0.1975100743094315,Severe Under-generation
and when ye come into an house salute it,اور گھر میں داخل ہوتے وقت اسے دعای خیر دینا .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,2.5241181889490294,1.8273910508530697,Complete Hallucination
but when they persecute you in this city flee ye into another for verily i say unto you ye shall not have gone over the cities of israel till the son of man be come,لیکن جب تم کو ایک شہر میں ستائیں تو دوسرے کو بھاگ جاو کیونکہ میں تم سے سچ کہتا ہوں کہ تم اسرائیل کے سب شہروں میں نہ پھر چکو گے کہ ابن آدم آجائے گا .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,0.18747528972912847,0.05296575931996361,Severe Under-generation
fear them not therefore for there is nothing covered that shall not be revealed and hid that shall not be known,پس ان سے نہ ڈرو کیونکہ کوئی چیز ڈھکی نہیں جو کھولی نہ جائے گی اور نہ کوئی چیز چھپی ہے جو جانی نہ جائے گی .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,0.6060326386360266,0.2445900050043955,Severe Under-generation
and a man s foes shall be they of his own household,اور آدمی کے دشمن اس کے گھر ہی کے لوگ ہونگے .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,2.5275691906194435,1.8838526213812261,Partial Match
he that receiveth a prophet in the name of a prophet shall receive a prophet s reward and he that receiveth a righteous man in the name of a righteous man shall receive a righteous man s reward,جو نبی کے نام سے نبی کو قبول کرتا ہے وہ نبی کا اجر پائے گا اور جو راستباز کے نام سے راستباز کو قبول کرتا ہے وہ راستباز کو اجر پائے گا .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,0.31821260595881257,0.08997963435713734,Severe Under-generation
at that time jesus went on the sabbath day through the corn and his disciples were an hungred and began to pluck the ears of corn and to eat,اس وقت یسوع سبت کے دن کھیتوں میں ہوکر گیا اور اس کے شاگردوں کو بھوک لگی اور وہ بالیں توڑ توڑ کر کھانے لگے .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,1.3673715453736255,0.2821504678742899,Severe Under-generation
or have ye not read in the law how that on the sabbath days the priests in the temple profane the sabbath and are blameless,یا تم نے توریت میں نہیں پڑھا کہ کاہن سبت کے دن ہیکل میں سبت کی بے حرمتی کرتے ہیں اور بے قصور رہتے ہیں,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,0.6224398820246168,0.2473104854512514,Severe Under-generation
and if satan cast out satan he is divided against himself how shall then his kingdom stand,اور اگر شیطان ہی نے شیطان کو نکالا تو وہ آپ اپنا مخالف ہو گیا . پھر اس کی بادشاہی کیونکر قائم رہے گی,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,0.818058494941366,0.3754610691157943,Severe Under-generation
wherefore i say unto you all manner of sin and blasphemy shall be forgiven unto men but the blasphemy against the holy ghost shall not be forgiven unto men,اس لئے میں تم سے کہتا ہوں کہ آدمیوں کا ہر گناہ اور کفر تو معاف کیا جائے گا مگر جو کفر روح کے حق میں ہو وہ معاف نہ کیا جائے گا .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,0.3009469019645809,0.08997963435713734,Severe Under-generation
but he answered and said unto them an evil and adulterous generation seeketh after a sign and there shall no sign be given to it but the sign of the prophet jonas,اس نے جواب دے کر ان سے کہا اس زمانہ کے برے اور زناکار لوگ نشان طلب کرتے ہیں مگر یوناہ نبی کے نشان کے سوا کوئی اور نشان ان کو نہ دیا جائے گا .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,0.5566918598854469,0.16358993346932152,Severe Under-generation
the same day went jesus out of the house and sat by the sea side,اسی روز یسوع گھر سے نکلکر جھیل کے کنارے جا بیٹھا .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,2.283916584906242,1.8838526213812261,Complete Hallucination
but when the blade was sprung up and brought forth fruit then appeared the tares also,پس جب پتّیا نکلیں اور بالیں آئیں تو وہ کڑوے دانے بھی دکھائی دئے .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,1.6919670206157078,1.0319608424115312,Complete Hallucination
so the servants of the householder came and said unto him sir didst not thou sow good seed in thy field from whence then hath it tares,نوکروں نے آکر گھر کے مالک سے کہا اے خداوند کیا تونے اپنے کھیت میں اچھّا بیج نہ بویا تھا اس میں کڑوے دانے کہا سے آگئے,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,0.6060326386360266,0.2445900050043955,Severe Under-generation
that it might be fulfilled which was spoken by the prophet saying i will open my mouth in parables i will utter things which have been kept secret from the foundation of the world,تاکہ جو نبی کی معرفت کہا گیا تھا وہ پورا ہو کہ میں تمثیلوں میں اپنا منہ کھولونگا . میں ان باتوں کو ظاہر کرونگا جو بنای عالم سے پوشیدہ رہی ہیں .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,0.2796802674153667,0.0937914992556868,Severe Under-generation
then jesus sent the multitude away and went into the house and his disciples came unto him saying declare unto us the parable of the tares of the field,اس وقت وہ بھیڑ کو چھوڑ کر گھر میں گیا اور اس کے شاگردوں نے اس کے پاس آکر کہا کہ کھیت کے کڑوے دانوں کی تمثیل ہمیں سمجھا دے .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,1.0428558923242863,0.31603808149038504,Severe Under-generation
the field is the world the good seed are the children of the kingdom but the tares are the children of the wicked one,اور کھیت دنیا ہے اور اچھّا بیج بادشاہی کے فرزند اور کڑوے دانے اس شریر کے فرزند ہیں .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,1.3487504412867632,0.7669644897138996,Partial Match
and when the men of that place had knowledge of him they sent out into all that country round about and brought unto him all that were diseased,اور وہاں کے لوگوں نے اسے پہچان کر اس سارے گرد نواح میں خبر بھیجی اور سب بیماروں کو اس کے پاس لائے .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,0.8649915443644386,0.40345917544215326,Severe Under-generation
but ye say whosoever shall say to his father or his mother it is a gift by whatsoever thou mightest be profited by me,مگر تم کہتے ہو کہ جو کوئی باپ یا ماں سے کہے کہ جس چیز کا تجھے مجھ سے فائدہ پہنچ سکتا تھا وہ خدا کی نذر ہوچکی .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,0.46174524702947806,0.16608551346329573,Severe Under-generation
but he answered her not a word and his disciples came and besought him saying send her away for she crieth after us,مگر اس نے اسے کچھ جواب نہ دیا اور اس کے شاگردوں نے پاس آکر اس سے یہ عرض کی کہ اسے رخصت کردے کیونکہ وہ ہمارے پیچھے چلاّتی ہے .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,1.3490057697216116,0.46030166432925135,Severe Under-generation
and jesus saith unto them how many loaves have ye and they said seven and a few little fishes,یسوع نے ان سے کہا تمہارے پاس کتنی روٹیاں ہیں انہوں نے کہا سات اور تھوڑی سے چھوٹی مچھلیاں ہیں .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,1.1676164546391066,0.5763563986150694,Complete Hallucination
he saith unto them but whom say ye that i am,اس نے ان سے کہا مگر تم مجھے کیا کہتے ہو,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,5.702871379988104,5.120897811151822,Partial Match
and jesus answered and said unto him blessed art thou simon bar jona for flesh and blood hath not revealed it unto thee but my father which is in heaven,یسوع نے جواب میں اس سے کہا مبارک ہے تو شمعون بریوناہ کیونکہ یہ بات گوشت اور خون نے نہیں بلکہ میرے باپ نے جو آسمان پر ہے تجھ پر ظاہر کی ہے .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,0.808595399832032,0.2588798285952322,Severe Under-generation
then peter took him and began to rebuke him saying be it far from thee lord this shall not be unto thee,اس پر پطرس اس کو الگ لے جاکر ملامت کرنے لگا کہ اے خداوند خدا نے کرے . یہ تجھ پر ہرگز نہیں آنے کا .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,0.6697696476251849,0.3031904090276561,Severe Under-generation
but he turned and said unto peter get thee behind me satan thou art an offence unto me for thou savourest not the things that be of god but those that be of men,اس نے پھر کر پطرس سے کہا اے شیطان میرے سامنے سے دور ہو . تو میرے لئے ٹھوکر کا باعث ہے کیونکہ تو خدا کی باتوں کا نہیں بلکہ آدمیوں کی باتوں کا خیال رکھتا ہے .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,0.5420177056396138,0.14619413062999,Severe Under-generation
and jesus came and touched them and said arise and be not afraid,یسو نے پاس آکر انہیں چھوا اور کہا اٹھو . ڈرو مت .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,2.287039180347337,1.6330702038618312,Complete Hallucination
and they shall kill him and the third day he shall be raised again and they were exceeding sorry,اور وہ اسے قتل کریں گے اور وہ تیسرے دن زندہ کیا جائے گا . اس پر وہ بہت ہی غمگین ہوئے .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,0.8413546956033721,0.39136696693767,Complete Hallucination
and said verily i say unto you except ye be converted and become as little children ye shall not enter into the kingdom of heaven,اور کہا میں تم سے سچ کہتا ہوں کہ اگر تم توبہ نہ کرو اور بچّوں کے مانند نہ بنو تو آسمان کی بادشاہی میں ہرگز داخل نہ ہوگے .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,0.4178043771125293,0.14397586108999239,Severe Under-generation
then came peter to him and said lord how oft shall my brother sin against me and i forgive him till seven times,اس وقت پطرس نے پاس آکر اس سے کہا اے خداوند اگر میرا بھائی گناہ کرتا رہے تو میں کتنی دفعہ اسے معاف کروں کیا سات بار تک,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,1.1195091350811526,0.48513836841187374,Severe Under-generation
and when he had begun to reckon one was brought unto him which owed him ten thousand talents,اور جب حساب لینے لگا تو اس کے سامنے ایک قرضدار حاضر کیا گیا جس پر اس کے دس ہزار توڑے آتے تھے .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,0.818058494941366,0.3754610691157943,Severe Under-generation
then his lord after that he had called him said unto him o thou wicked servant i forgave thee all that debt because thou desiredst me,اس پر اس کے مالک نے اس کو پاس بلا کر اس سے کہا اے شریر نوکر میں نے وہ سارا قرض اس لئے تجھے بخش دیا کہ تو نے میری منّت کی تھی .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,0.6990472097513534,0.22441720210032173,Severe Under-generation
so likewise shall my heavenly father do also unto you if ye from your hearts forgive not every one his brother their trespasses,میرا آسمانی باپ بھی تمہارے ساتھ اسی طرح کرے گا اگر تم میں سے ہر ایک اپنے بھائی کو دل سے معاف نہ کرے .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,0.6888429635370448,0.2941033889134051,Severe Under-generation
and he answered and said unto them have ye not read that he which made them at the beginning made them male and female,اس نے جواب میں کہا کیا تم نے نہیں پڑھا کہ جس نے انہیں بنایا اس نے ابتدا ہی سے انہیں مرد اور عورت بنا کر کہا کہ,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,1.1837367885940113,0.48513836841187374,Severe Under-generation
and shall deliver him to the gentiles to mock and to scourge and to crucify him and the third day he shall rise again,اور اسے غیرقوموں کے حوالہ کریں گے تاکہ وہ اسے ٹھٹھوں میں اڑائیں اور کوڑے ماریں اور صلیب پر چڑھائیں اور وہ تیسرے دن زندہ کیا جائے گا .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,0.4172339303731591,0.13966071289685794,Severe Under-generation
but jesus called them unto him and said ye know that the princes of the gentiles exercise dominion over them and they that are great exercise authority upon them,مگر یسوع نے انہیں پاس بلا کر کہا تم جانتے ہو کہ غیرقوموں کے سردار ان پر حکومت چلاتے اور امیر ان پر اختیار جتاتے ہیں .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,0.5639769182891534,0.22101201858491376,Severe Under-generation
and behold two blind men sitting by the way side when they heard that jesus passed by cried out saying have mercy on us o lord thou son of david,اور دیکھو دو اندھوں نے جو راہ کے کنارے بیٹھے تھے یہ سن کر کہ یسوع جا رہا ہے چلاّ کر کہا اے خداوند ابن داود ہم پر رحم کر .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,0.4062358262296014,0.1381244082879506,Severe Under-generation
and jesus stood still and called them and said what will ye that i shall do unto you,یسوع نے کھڑے ہوکر انہیں بلایا اور کہا تم کیا چاہتے ہو کہ میں تمہارے لئے کروں,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,1.3852654329718077,0.7754951404151093,Complete Hallucination
and he left them and went out of the city into bethany and he lodged there,اور وہ انہیں چھوڑ کر شہر سے باہر بیت عنیاہ میں گیا اور رات کو وہیں رہا .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,1.3871593828447106,0.7994558977715326,Complete Hallucination
then said the king to the servants bind him hand and foot and take him away and cast him into outer darkness there shall be weeping and gnashing of teeth,اس پر بادشاہ نے خادموں سے کہا اس کے ہاتھ پاوں باندھ کر باہر اندھیرے میں ڈال دو . وہاں رونا اور دانت پیسنا ہوگا .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,0.7412219593908478,0.3205848258566343,Severe Under-generation
now there were with us seven brethren and the first when he had married a wife deceased and having no issue left his wife unto his brother,اب ہمارے درمیان سات بھائی تھے اور پہلا بیاہ کرکے مرگیا اور اس سبب سے کہ اس کے اولاد نہ تھی اپنی بیوی اپنے بھائی کے لئے چھوڑ گیا .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,0.9691617123716866,0.17121711839686238,Severe Under-generation
therefore in the resurrection whose wife shall she be of the seven for they all had her,پس وہ قیامت میں ان ساتوں میں سے کس کی بیوی ہوگی کیونکہ سب نے اس سے بیاہ کیا تھا .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,4.8665630904416,2.807982567094934,Partial Match
jesus said unto him thou shalt love the lord thy god with all thy heart and with all thy soul and with all thy mind,اس نے اس سے کہا کہ خداوند اپنے خدا سے اپنے سارے دل اور اپنی ساری جان اور اپنی ساری عقل سے محبّت رکھ .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,6.741599762807413,3.322410212014485,Severe Under-generation
all therefore whatsoever they bid you observe that observe and do but do not ye after their works for they say and do not,پس جو کچھ وہ تمہیں بتائیں وہ سب کرو اور مانو لیکن ان کے سے کام نہ کرو کیونکہ وہ کہتے ہیں اور کرتے نہیں .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,0.6232908885590982,0.2549517280906635,Severe Under-generation
and greetings in the markets and to be called of men rabbi rabbi,اور بازاروں میں سلام اور آدمیوں سے ربّی کہلانا پسند کرتے ہیں .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,2.287039180347337,1.6330702038618312,Complete Hallucination
woe unto you scribes and pharisees hypocrites for ye compass sea and land to make one proselyte and when he is made ye make him twofold more the child of hell than yourselves,اے ریاکار فقیہو اور فریسیو تم پر افسوس کہ ایک مرید کرنے کے لئے تری اور خشکی کا دورہ کرتے ہو اور جب وہ مرید ہو چکتا ہے تو اسے اپنے سے دونا جہنّم کا فرزند بنا دیتے ہو .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,0.1651631616446102,0.03818491348510981,Severe Under-generation
woe unto you ye blind guides which say whosoever shall swear by the temple it is nothing but whosoever shall swear by the gold of the temple he is a debtor,اے اندھے راہ بتانے والو تم پر افسوس جو کہتے ہو کہ اگر کوئی مقدس کی قسم کھائے تو کچھ بات نہیں لیکن اگر مقدس کے سونے کی قسم کھائے تو اس کا پابند ہوگا .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,0.20719223806643897,0.061099445879549304,Severe Under-generation
behold your house is left unto you desolate,دیکھو تمہارا گھر تمہارے لئے ویران چھوڑا جاتا ہوں .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,2.345749517489102,2.1080143482486866,Complete Hallucination
and jesus answered and said unto them take heed that no man deceive you,یسوع نے جواب میں ان سے کہا کہ خبردار کوئی تم کو گمراہ نہ کردے .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,1.6942802962142887,1.1773388175721056,Complete Hallucination
and then shall many be offended and shall betray one another and shall hate one another,اور اس وقت بہتیرے ٹھوکر کھائیں گے اور ایک دوسرے کو پکڑوائیں گے اور ایک دوسرے سے عداوت رکھّیں گے .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,2.254414551807602,0.5763563986150694,Partial Match
then let them which be in judaea flee into the mountains,تو جو یہودیہ میں ہوں وہ پہاڑوں پر بھاگ جائیں .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,2.1225219367639365,1.8273910508530697,Complete Hallucination
let him which is on the housetop not come down to take any thing out of his house,جو کوٹھے پر ہو وہ اپنے گھر کا اسباب لینے کو نیچے نہ اترے .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,1.4227690023632564,1.0319608424115312,Complete Hallucination
immediately after the tribulation of those days shall the sun be darkened and the moon shall not give her light and the stars shall fall from heaven and the powers of the heavens shall be shaken,اور فورا ان دنوں کی مصیبت کے بعد سورج تاریک ہو جائے گا اور چاند اپنی روشنی نہ دے گا اور ستارے آسمان سے گریں گے اور آسمانوں کی قوّتیں ہلائی جائیں گی .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,0.2800626492999623,0.08130577788919054,Severe Under-generation
and shall begin to smite his fellowservants and to eat and drink with the drunken,اپنے ہمخدمتوں کو مارنا شروع کرے اور شرابیوں کے ساتھ کھائے پئے .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,2.0665731856960705,1.3732428802850667,Complete Hallucination
then shall the kingdom of heaven be likened unto ten virgins which took their lamps and went forth to meet the bridegroom,اس وقت آسمان کی بادشاہی ان دس کنواریوں کی مانند ہوگی جو اپنی مشعلیں لے کر دلہا کے استقبال کو نکلیں .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,0.8402059569374971,0.45146723321756704,Complete Hallucination
and at midnight there was a cry made behold the bridegroom cometh go ye out to meet him,آدھی رات کو دھوم مچی کہ دیکھو دلہا آگیا اس کے استقبال کو نکلو .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,1.6919670206157078,1.2272151761999943,Complete Hallucination
he also that had received two talents came and said lord thou deliveredst unto me two talents behold i have gained two other talents beside them,اور جس کو دو توڑے ملے تھے اس نے بھی پاس آکر کہا اے خداوند تو نے دو توڑے مجھے سپرد کئے تھے . دیکھ میں نے دو توڑے اور کمائے .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,0.7504294149649167,0.2549544894286606,Severe Under-generation
and i was afraid and went and hid thy talent in the earth lo there thou hast that is thine,پس میں ڈرا اور جاکر تیرا توڑا زمین میں چھپا دیا . دیکھ جو تیرا ہے وہ موجود ہے .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,2.3186144765061645,1.2792183338053835,Complete Hallucination
then shall he answer them saying verily i say unto you inasmuch as ye did it not to one of the least of these ye did it not to me,اس وقت وہ ان سے جواب میں کہے گا میں تم سے سچ کہتا ہوں چونکہ تم نے ان سب سے چھوٹوں میں سے کسی ایک کے ساتھ یہ سلوک نہ کیا اس لئے میرے ساتھ نہ کیا .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,0.20200654962897185,0.05004907637069874,Severe Under-generation
for ye have the poor always with you but me ye have not always,کیونکہ غریب غربا تو ہمیشہ تمہارے پاس ہیں لیکن میں تمہارے پاس ہمیشہ نہ رہونگا .,اور اس نے اس سے <unk> سے <unk> ہے .,اس نے اس سے <unk> ہے .,1.287374630559967,0.8945840476941364,Complete Hallucination
